Hindi,English,Mundari,Mundari_English_Pronounciation
हम साथ-साथ स्कूल जाते हैं।,We go to school together.,आले तेगे स्कूल जाना।,aale tege skuula jaanaa।
मैं हर दिन पैदल चलकर स्कूल जाता हूं।,I walk to school every day.,आञ सोबेन हुलंग पैदल ते स्कूल जानाञ।,aanya sobena hulanga paidala te skuula jaanaanya।
मेरा भाई यहीं पढ़ता है.,My brother studies here.,आञाः भाई नेताः पढ़व तना।,aanyaah bhaaii netaah padhaawa tanaa।
मेरी बहन इसी स्कूल में है.,My sister is in this school.,आञाः बहन नेआ स्कूल रे मेना:।,aanyaah bahana neaa skuula re menaa:।
मुझे अपना स्कुल पसंद है।,I like my school.,आञ आपान स्कुल पसंद मेना:।,aanya aapaana skula pasanda menaa:।
हमारे विद्यालय में एक खेल का मैदान है।,There is a playground in our school.,आलेआः विद्यालय रे मिआद खेल राः मैदान मेना:।,aaleaah widyaalaya re miaada khela raah maidaana menaa:।
खेल का मैदान बहुत बड़ा है.,The playground is very big.,खेलरा: मैदान बेसे बड़ा मेनाः।,khelaraa: maidaana bese badaaa menaah।
लाइब्रेरी पहली मंजिल पर है.,The library is on the first floor.,लाइब्रेरी सिदा मंजिल रे मेना:।,laaibrerii sidaa manjila re menaa:।
मैंने कल एक किताब उधार ली थी।,I borrowed a book yesterday.,आञ तिसिङ मिआद किताब उधार केदाञ।,aanya tisinga miaada kitaaba udhaara kedaanya।
मैंने आज किताब लौटा दी.,I returned the book today.,आञ तिसिङ किताब लौटा केदाञ।,aanya tisinga kitaaba lautaa kedaanya।
यह किताब मेरी है.,this book is mine.,नेआ किताब आञाः मेनाः।,neaa kitaaba aanyaah menaah।
वह नोटबुक उसी की है.,That notebook belongs to him.,इनि नोटबुक एनता: मेनाः।,ini notabuka enataa: menaah।
मेरी कलम गायब है.,My pen is missing.,आञाः कलम गायब मेना:।,aanyaah kalama gaayaba menaa:।
मुझे मेरी पेंसिल मिल गयी.,I found my pencil.,अइंग आञाः पेंसिल नामजाना।,ainga aanyaah pensila naamajaanaa।
मेरी पेंसिल टूट गयी है.,My pencil is broken.,आञाः पेंसिल टूट जना।,aanyaah pensila tuuta janaa।
मुझे एक नया पेन चाहिए.,I need a new pen.,आञ मिआद नवा पेन लागातिङा।,aanya miaada nawaa pena laagaatingaa।
कृपया मुझे अपनी कलम उधार दें।,Please lend me your pen.,मेनदो आञ आपान कलम उधार केदाञ।,menado aanya aapaana kalama udhaara kedaanya।
मैं इसे कल वापस कर दूंगा.,I will return it tomorrow.,अइंग नेआ तायोम केदाए।,ainga neaa taayoma kedaae।
मेरी नोटबुक भरी हुई है.,My notebook is full.,आञाः नोटबुक भरी जना।,aanyaah notabuka bharii janaa।
मुझे एक और नोटबुक चाहिए.,I need another notebook.,आञ मिआद ओड़ो: नोटबुक लागातिङा।,aanya miaada odao: notabuka laagaatingaa।
हम कौन सा पेज पढ़ रहे हैं?,What page are we reading?,आले चिलका पेज पढ़व तना?,aale chilakaa peja padhaawa tanaa?
मैं पेज दस पर हूं.,I'm on page ten.,अइंग पेज दस रे तइना,ainga peja dasa re tainaa
पेज बीस पर पलटें.,Turn to page twenty.,पेज बीस रे पलटें।,peja biisa re palaten।
यह अध्याय आसान है.,This chapter is easy.,नेआ अध्याय आसान मेना:।,neaa adhyaaya aasaana menaa:।
यह अध्याय कठिन है.,This chapter is difficult.,नेआ अध्याय कठिन मेना:।,neaa adhyaaya kathina menaa:।
मैंने पहला अध्याय समाप्त कर लिया।,I finished the first chapter.,आञ सिदा अध्याय समाप्त केदाञ।,aanya sidaa adhyaaya samaapta kedaanya।
मुझे और अभ्यास की जरूरत है.,I need more practice.,आञ ओड़ोः अभ्यास राः जरूड़ी मेना:।,aanya odaoh abhyaasa raah jaruudaii menaa:।
मैंने कल इसका अभ्यास किया।,I practiced it yesterday.,आञ कल नेआ राः अभ्यास रिकाकेदाञ।,aanya kala neaa raah abhyaasa rikaakedaanya।
मैं आज रात फिर से अभ्यास करूंगा.,I'll practice again tonight.,आञ तिसिङ ओड़ोः ते अभ्यास रिकाञा।,aanya tisinga odaoh te abhyaasa rikaanyaa।
गणित दिलचस्प है.,Mathematics is interesting.,गणित दिलचस्प मेना:,ganita dilachaspa menaa:
विज्ञान मेरा पसंदीदा विषय है.,Science is my favourite subject.,विज्ञान आञाः पसंदीदा विषय मेना:।,wijnyaana aanyaah pasandiidaa wishaya menaa:।
मुझे कहानियां पढ़ने में मजा आता है.,I enjoy reading stories.,आञ कहानियां पढ़व रे मजा हिजुःताना।,aanya kahaaniyaan padhaawa re majaa hijuhtaanaa।
मुझे चित्र बनाना पसंद है.,I like to draw pictures.,आञ चित्र बाइओःआञ।,aanya chitra baaiohaanya।
वह बहुत सलीके से लिखती है.,She writes very well.,इनिः बेसे सलीके ते लिखव तना।,inih bese saliike te likhawa tanaa।
वह बहुत तेजी से पढ़ता है.,He reads very fast.,इनिः बेसे तेजीते पढ़व तना।,inih bese tejiite padhaawa tanaa।
वह साफ बोलती है.,She speaks clearly.,इनिः साफ बोलाओआ।,inih saapha bolaaoaa।
वह जल्दी सीख जाता है.,He learns quickly.,इनि: जल्दी सीख तना:,ini: jaldii siikha tanaa:
मुझे इस अभ्यास में सहायता की आवश्यकता है.,I need help with this exercise.,आञ ने अभ्यास रे सहायतारा: आवश्यकता मेना:।,aanya ne abhyaasa re sahaayataaraa: aawashyakataa menaa:।
क्या आप इस समस्या में मेरी मदद कर सकते हैं?,Can you help me with this problem?,चिलका आम ने समस्या रे आञा: मदद रिकाएआ?,chilakaa aama ne samasyaa re aanyaa: madada rikaaeaa?
कृपया इस शब्द की व्याख्या करें।,Please explain this term.,मेनदो नेआ शब्दरा: व्याख्या रिकाएआ।,menado neaa shabdaraa: wyaakhyaa rikaaeaa।
मैं इस हिस्से को समझता हूं.,I understand this part.,आञ ने हिस्सा को समझव तनाञ।,aanya ne hissaa ko samajhawa tanaanya।
मैं उदाहरण को समझता हूं.,I understand the example.,आञ उदाहरण के समझव तना।,aanya udaaharana ke samajhawa tanaa।
